Date,Fatalities,Aboard,Ground
04 Nov 1940,17,17,0
04 Nov 1940,10,10,0
08 Nov 1940,18,18,0
08 Nov 1940,29,29,0
27 Nov 1940,6,6,0
04 Dec 1940,10,16,0
24 Dec 1940,7,7,0
10 Jan 1941,16,16,0
15 Jan 1941,10,10,0
17 Jan 1941,12,16,0
20 Jan 1941,5,6,0
23 Jan 1941,2,13,0
06 Feb 1941,12,12,0
26 Feb 1941,9,16,0
01 Mar 1941,3,12,0
28 Mar 1941,10,10,0
03 Jun 1941,6,6,0
18 Jun 1941,0,18,0
21 Jun 1941,18,18,0
30 Jul 1941,5,25,0
10 Aug 1941,22,22,0
14 Aug 1941,22,22,0
18 Aug 1941,8,14,0
27 Aug 1941,3,3,0
01 Sep 1941,10,10,0
01 Sep 1941,15,17,0
03 Oct 1941,2,15,0
28 Oct 1941,13,13,0
30 Oct 1941,14,15,0
30 Oct 1941,20,20,0
29 Nov 1941,7,36,0
11 Dec 1941,3,3,0
26 Dec 1941,26,34,0
29 Dec 1941,4,4,0
16 Jan 1942,22,22,0
20 Jan 1942,11,11,0
26 Jan 1942,5,5,0
30 Jan 1942,13,18,0
15 Feb 1942,9,9,0
19 Feb 1942,1,1,0
20 Feb 1942,9,9,0
28 Feb 1942,20,20,0
03 Mar 1942,8,12,0
03 Mar 1942,20,21,0
14 Mar 1942,13,17,0
21 Apr 1942,12,12,0
01 May 1942,17,17,0
12 May 1942,3,14,0
19 May 1942,20,20,0
01 Jul 1942,21,21,0
07 Jul 1942,10,10,0
20 Jul 1942,13,13,0
13 Aug 1942,4,10,0
21 Aug 1942,4,4,0
22 Aug 1942,13,13,0
23 Aug 1942,14,15,0
24 Sep 1942,19,19,0
27 Sep 1942,25,25,0
28 Sep 1942,15,15,0
01 Oct 1942,0,0,0
01 Oct 1942,22,22,0
03 Oct 1942,11,37,0
22 Oct 1942,10,12,0
22 Oct 1942,17,17,0
23 Oct 1942,12,13,0
24 Oct 1942,6,6,0
30 Oct 1942,10,10,0
17 Nov 1942,20,20,0
12 Dec 1942,36,36,0
15 Dec 1942,17,19,0
19 Dec 1942,2,16,0
20 Dec 1942,13,13,0
09 Jan 1943,13,15,0
15 Jan 1943,35,35,0
18 Jan 1943,26,26,0
21 Jan 1943,19,19,0
22 Jan 1943,14,15,0
09 Feb 1943,19,21,0
18 Feb 1943,10,10,20
22 Feb 1943,25,39,0
11 Mar 1943,3,3,0
13 Mar 1943,3,3,0
27 Mar 1943,24,24,0
04 Apr 1943,7,7,0
22 Apr 1943,13,31,0
01 Jun 1943,17,17,0
07 Jun 1943,20,20,0
08 Jun 1943,23,23,0
14 Jun 1943,40,41,0
16 Jun 1943,17,17,0
30 Jun 1943,16,16,0
04 Jul 1943,12,13,0
27 Jul 1943,11,11,0
28 Jul 1943,10,25,0
28 Jul 1943,20,22,0
01 Aug 1943,10,10,63
07 Aug 1943,27,27,0
11 Aug 1943,3,3,0
14 Aug 1943,17,17,0
27 Aug 1943,18,21,0
27 Aug 1943,7,7,0
10 Sep 1943,22,22,0
20 Sep 1943,25,25,0
22 Sep 1943,20,20,0
15 Oct 1943,15,15,0
19 Oct 1943,24,24,0
22 Oct 1943,20,20,0
22 Oct 1943,13,15,0
05 Nov 1943,19,19,0
08 Nov 1943,1,1,37
19 Nov 1943,2,3,0
19 Nov 1943,3,3,0
26 Nov 1943,15,15,0
17 Dec 1943,10,10,0
18 Dec 1943,3,3,0
19 Dec 1943,31,31,0
29 Dec 1943,25,25,0
15 Jan 1944,5,5,0
10 Feb 1944,24,24,0
10 Feb 1944,14,14,0
20 Feb 1944,2,2,0
21 Feb 1944,16,16,0
22 Mar 1944,21,21,0
06 Apr 1944,6,6,0
17 Apr 1944,5,7,0
21 Apr 1944,9,20,0
25 Apr 1944,16,16,0
26 May 1944,12,12,0
27 May 1944,14,14,0
06 Jun 1944,22,22,0
06 Jun 1944,22,22,0
06 Jun 1944,22,22,0
08 Jun 1944,6,6,0
18 Jun 1944,2,4,0
20 Jun 1944,10,10,0
11 Jul 1944,2,2,19
23 Jul 1944,17,17,0
26 Jul 1944,26,26,0
27 Jul 1944,22,22,0
31 Jul 1944,22,24,0
03 Aug 1944,28,28,0
08 Aug 1944,17,31,0
12 Aug 1944,2,2,0
23 Aug 1944,3,3,58
28 Aug 1944,20,20,5
29 Aug 1944,11,15,0
30 Aug 1944,18,18,0
02 Sep 1944,5,5,0
07 Sep 1944,20,20,0
17 Sep 1944,13,13,2
18 Sep 1944,19,19,0
21 Sep 1944,17,17,0
27 Sep 1944,9,9,0
07 Oct 1944,3,3,0
10 Oct 1944,7,7,0
11 Oct 1944,1,30,0
11 Oct 1944,1,29,0
16 Oct 1944,15,15,0
17 Oct 1944,1,9,0
18 Oct 1944,24,24,0
04 Nov 1944,24,24,0
06 Nov 1944,17,17,0
09 Nov 1944,0,0,0
10 Nov 1944,20,20,0
19 Nov 1944,25,30,0
29 Nov 1944,11,11,0
29 Nov 1944,16,16,0
29 Nov 1944,10,10,0
30 Nov 1944,3,3,0
01 Dec 1944,9,17,0
03 Dec 1944,5,5,0
07 Dec 1944,16,16,0
15 Dec 1944,3,3,0
06 Jan 1945,4,4,0
08 Jan 1945,23,30,0
10 Jan 1945,24,24,0
14 Jan 1945,4,6,0
16 Jan 1945,3,3,0
23 Jan 1945,11,11,0
31 Jan 1945,10,10,0
02 Feb 1945,23,26,0
06 Feb 1945,23,23,0
13 Feb 1945,24,24,0
15 Feb 1945,11,11,0
23 Feb 1945,8,8,0
23 Feb 1945,17,22,0
23 Feb 1945,13,30,0
27 Mar 1945,24,24,0
09 Apr 1945,3,3,0
14 Apr 1945,20,20,0
19 Apr 1945,13,13,0
20 Apr 1945,18,20,0
20 Apr 1945,25,25,0
